"rank","method","acc_imp_o_avg","acc_imp_o_best","nll_imp_o_avg","nll_imp_o_best","ece_imp_o_avg","ece_imp_o_best"
1,"average + BC",0.0566605263157895,0.0327175438596491,0.288424278560438,0.121984854601977,0.0372105322516801,-0.00843038542294188
2,"average + M1",0.056669298245614,0.0327263157894736,0.301606235796945,0.135166811838485,0.0489328216042435,0.0032919039296215
3,"average + M2",0.056669298245614,0.0327263157894736,0.301646090913237,0.135206666954777,0.0489126014474191,0.00327168377279712
4,"average + SBT",0.056669298245614,0.0327263157894736,0.301646477297733,0.135207053339272,0.0489407742003861,0.00329985652576413
5,"average.uncert + BC",0.0612605263157895,0.0373175438596491,-1.36931053117702,-1.53574995513548,-0.525474551035778,-0.5711154687104
6,"average.uncert + M1",0.0612342105263158,0.0372912280701754,-1.36977169963351,-1.53621112359198,-0.525549888169687,-0.571190805844309
7,"average.uncert + M2",0.0612008771929825,0.0372578947368421,-1.37132586669504,-1.5377652906535,-0.525661918759477,-0.571302836434099
8,"average.uncert + SBT",0.0612359649122807,0.0372929824561403,-1.36794978641627,-1.53438921037473,-0.525243021498777,-0.570883939173399
9,"cal_average + BC",0.0646324561403509,0.0406894736842105,-0.249588885328226,-0.416028309286686,-0.338115017877467,-0.383755935552089
10,"cal_average + M1",0.0646464912280702,0.0407035087719298,-0.019930115394425,-0.186369539352885,-0.0590434694793402,-0.104684387153962
11,"cal_average + M2",0.0646464912280702,0.0407035087719298,-0.0181109753617069,-0.184550399320167,-0.0610285007411189,-0.106669418415741
12,"cal_average + SBT",0.0497745614035088,0.0258315789473684,,,,
13,"cal_average.uncert + BC",0.0620236842105263,0.0380807017543859,-1.36500386763037,-1.53144329158883,-0.525708492992348,-0.57134941066697
14,"cal_average.uncert + M1",0.0621991228070175,0.0382561403508772,-1.36603716538663,-1.5324765893451,-0.52608378579546,-0.571724703470082
15,"cal_average.uncert + M2",0.0625938596491228,0.0386508771929824,-1.36921589782363,-1.5356553217821,-0.526697133275631,-0.572338050950253
16,"cal_average.uncert + SBT",0.0629342105263158,0.0389912280701754,-1.36012302103796,-1.52656244499642,-0.526037961326278,-0.5716788790009
17,"cal_prob_average + BC",0.0335921052631579,0.00964912280701751,0.164070187430633,-0.00236923652782775,0.0177608321731289,-0.0278800855014931
18,"cal_prob_average + M1",0.0489780701754386,0.0250350877192982,0.161847930728343,-0.00459149323011699,-0.0597843248887282,-0.10542524256335
19,"cal_prob_average + M2",0.0550728070175439,0.0311298245614035,0.123788783947627,-0.0426506400108337,-0.104431602466655,-0.150072520141277
20,"cal_prob_average + SBT",0.0516605263157895,0.0277175438596491,0.170870314041773,0.00443089008331299,-0.0700189017184209,-0.115659819393043
21,"cal_prob_average.uncert + BC",0.0619043859649123,0.0379614035087719,-1.38698485807369,-1.55342428203215,-0.52770357966227,-0.573344497336892
22,"cal_prob_average.uncert + M1",0.0618815789473684,0.037938596491228,-1.38765785098076,-1.55409727493922,-0.527778665829254,-0.573419583503876
23,"cal_prob_average.uncert + M2",0.0619587719298246,0.0380157894736842,-1.38930337209451,-1.55574279605297,-0.528031547423125,-0.573672465097747
24,"cal_prob_average.uncert + SBT",0.0618394736842105,0.0378964912280701,-1.38589229656939,-1.55233172052785,-0.527691241500801,-0.573332159175423
25,"grad_bc + BC",0.0576394736842105,0.0336964912280701,0.29897119967561,0.13253177571715,0.0434702604420875,-0.00217065723253447
26,"grad_bc + M1",0.0572640350877193,0.0333210526315789,0.303847399719974,0.137407975761514,0.0499315484704679,0.00429063079584586
27,"grad_bc + M2",0.0572728070175439,0.0333298245614035,0.304436216751734,0.137996792793274,0.0501475660130382,0.00450664833841617
28,"grad_bc + SBT",0.0572149122807017,0.0332719298245614,0.304376486623496,0.137937062665036,0.0499531674247823,0.00431224975016033
29,"grad_bc.uncert + BC",0.061269298245614,0.0373263157894737,-1.36913028463983,-1.53556970859829,-0.525447320078679,-0.571088237753301
30,"grad_bc.uncert + M1",0.0612377192982456,0.0372947368421052,-1.36969730676266,-1.53613673072112,-0.525537850122833,-0.571178767797455
31,"grad_bc.uncert + M2",0.0611921052631579,0.0372491228070175,-1.37128087669088,-1.53772030064934,-0.525645267103978,-0.5712861847786
32,"grad_bc.uncert + SBT",0.0612394736842105,0.0372964912280701,-1.36783773386688,-1.53427715782534,-0.525223982520401,-0.570864900195023
33,"grad_m1 + BC",0.0571780701754386,0.0332350877192982,0.290232007440768,0.123792583482307,0.0361971222027613,-0.00944379547186065
34,"grad_m1 + M1",0.0602798245614035,0.0363368421052631,0.315767415782862,0.149327991824401,0.0693451371779175,0.0237042195032955
